Any,Trimestre,Tipologia,Àmbit,Víctimes ateses,Víctimes mortals,Denuncia prèvia mort
2011,1r,Violència masclista,Àmbit parella,3148,4,1
2011,2n,Violència masclista,Àmbit parella,3492,4,1
2011,3r,Violència masclista,Àmbit parella,3643,1,1
2011,4t,Violència masclista,Àmbit parella,3184,3,0
2012,1r,Violència masclista,Àmbit parella,2941,6,0
2012,2n,Violència masclista,Àmbit parella,3627,3,1
2012,3r,Violència masclista,Àmbit parella,3434,1,0
2012,4t,Violència masclista,Àmbit parella,2191,3,0
2013,1r,Violència masclista,Àmbit parella,2988,1,0
2013,2n,Violència masclista,Àmbit parella,2927,1,1
2013,3r,Violència masclista,Àmbit parella,3392,0,0
2013,4t,Violència masclista,Àmbit parella,2256,2,1
2014,1r,Violència masclista,Àmbit parella,3021,5,4
2014,2n,Violència masclista,Àmbit parella,3413,2,0
2014,3r,Violència masclista,Àmbit parella,3585,2,0
2014,4t,Violència masclista,Àmbit parella,3114,5,3
2015,1r,Violència masclista,Àmbit parella,3027,2,0
2015,2n,Violència masclista,Àmbit parella,3407,1,0
2015,3r,Violència masclista,Àmbit parella,3519,3,0
2015,4t,Violència masclista,Àmbit parella,3128,0,0
2016,1r,Violència masclista,Àmbit parella,3039,1,0
2016,2n,Violència masclista,Àmbit parella,3131,3,1
2016,3r,Violència masclista,Àmbit parella,3421,2,0
2016,4t,Violència masclista,Àmbit parella,2887,2,0
2017,1r,Violència masclista,Àmbit parella,3072,2,1
2017,2n,Violència masclista,Àmbit parella,3473,3,1
2017,3r,Violència masclista,Àmbit parella,3409,3,0
2017,4t,Violència masclista,Àmbit parella,2953,4,1
2018,1r,Violència masclista,Àmbit parella,3033,0,0
2018,2n,Violència masclista,Àmbit parella,3228,2,0
2018,3r,Violència masclista,Àmbit parella,3501,3,0
2018,4t,Violència masclista,Àmbit parella,3115,2,1
2019,1r,Violència masclista,Àmbit parella,3002,1,0
2019,2n,Violència masclista,Àmbit parella,3302,3,1
2019,3r,Violència masclista,Àmbit parella,3673,2,1
2019,4t,Violència masclista,Àmbit parella,2887,2,0
2020,1r,Violència masclista,Àmbit parella,2883,4,0
2020,2n,Violència masclista,Àmbit parella,3040,2,1
2020,3r,Violència masclista,Àmbit parella,3817,2,0
2020,4t,Violència masclista,Àmbit parella,2854,1,0
2021,1r,Violència masclista,Àmbit parella,2860,0,0
2021,2n,Violència masclista,Àmbit parella,3673,5,0
2021,3r,Violència masclista,Àmbit parella,4000,3,2
2021,4t,Violència masclista,Àmbit parella,3543,1,0
2022,1r,Violència masclista,Àmbit parella,3429,2,1
2022,2n,Violència masclista,Àmbit parella,4227,4,1
2022,3r,Violència masclista,Àmbit parella,4296,1,0
2022,4t,Violència masclista,Àmbit parella,3962,2,1
2023,1r,Violència masclista,Àmbit parella,3843,3,1
2023,2n,Violència masclista,Àmbit parella,4251,3,0
2023,3r,Violència masclista,Àmbit parella,4863,5,0
2023,4t,Violència masclista,Àmbit parella,4094,3,1
